country,code,region,region_noHICgroup,incgroup2,incgroup3,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,MLD_psu,CAT,YOS,DIF,MIX,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,CAT_ISCED5678,COR,BETA,MU050,BHQ4,Q4Q4,BHQ1,BHQ2,BHQ3,Q4BH,Q4child
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,all,3956,0.66612476,0.098582916,0.17093068,0.043031473,0.021330182,0.51185697,0.02580462,0.16419129,0.18346915,0.11467795,2.4801621,5.5824008,3.8097816,5.8577647,0.11709236,0.41435471,0.48007634,3.2032983,0.41669065,0.32997543,0.63310826,0.5847466,0.54255289,0,0.52167583,0.80210745,38.267929,0.11541249,0.57656682,0.34330001,0.32529986,0.21598764,0.16066469,0.25031462
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,daughter,721,0.6153211,0.099271752,0.21277559,0.051969059,0.020662477,0.62848145,0.023378422,0.099265099,0.1323224,0.11655261,2.9899917,4.3317313,4.0103793,5.9026852,0.25332066,0.28307503,0.31335872,1.4333878,0.28489456,0.17423947,0.50935423,0.44540733,0.47483027,0,0.57625061,0.84815562,31.926859,0.069982387,0.50535405,0.43981525,0.38444826,0.10575411,0.28440753,0.21694402
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,son,3235,0.67869866,0.098412432,0.16057406,0.040819421,0.021495437,0.48299247,0.026405104,0.18026051,0.19612795,0.11421397,2.3539793,5.8919411,3.7484949,5.8061409,0.12346732,0.44687408,0.52133894,3.6417239,0.44931018,0.36492074,0.6640048,0.63044435,0.56389248,0,0.52144164,0.80767447,39.630493,0.12502113,0.59902859,0.32288617,0.31275025,0.23934245,0.1217899,0.25857383
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,all,4137,0.68658054,0.047609806,0.057308592,0.15090708,0.057594001,0.51456213,0.026046939,0.16563793,0.18155099,0.112202,3.7560487,5.5382752,5.493762,5.8420348,0.11709236,0.35024402,0.37278134,2.1102159,0.35433298,0.34210727,0.73178267,0.36632064,0.26078659,0,0.48376021,0.51442778,40.513165,0.12859921,0.54951358,0.33514935,0.31631297,0.21993847,0.19294269,0.25029588
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,daughter,744,0.63909161,0.052328411,0.054086313,0.19009995,0.064393722,0.63035399,0.022781378,0.10373571,0.12955287,0.11357607,4.5208774,4.2777681,5.8047752,5.8697367,0.25332066,0.23012604,0.23522033,0.12881845,0.23516972,0.18986429,0.81913972,0.2333893,0.20241588,0,0.48634911,0.49179187,31.846794,0.081535332,0.49190229,0.4296692,0.37878826,0.1100072,0.31589642,0.21157491
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,son,3393,0.69812435,0.046462782,0.058091883,0.14137988,0.05594109,0.48641485,0.026840748,0.18068545,0.19419096,0.11186799,3.5701301,5.8446856,5.4000921,5.7949357,0.12346732,0.3791815,0.4062928,2.5875518,0.38329983,0.37598592,0.70786667,0.39640617,0.27986526,0,0.4975141,0.53389132,40.192749,0.13866942,0.57916093,0.31494644,0.30296624,0.24341792,0.14767095,0.25970837
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,all,3956,0.66612476,0.043961223,0.058528241,0.16865119,0.062734582,0.51185697,0.02580462,0.16419129,0.18346915,0.11467795,4.0617547,5.5824008,5.6620908,5.8577647,0.11709236,0.33637598,0.35781929,1.8844703,0.34168968,0.32997543,0.69249254,0.36087731,0.26032686,0,0.5082767,0.52584207,38.309429,0.11744928,0.56763417,0.34449819,0.32252589,0.21552663,0.16994214,0.25034246
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,daughter,721,0.6153211,0.042243581,0.063212268,0.20860182,0.070621207,0.62848145,0.023378422,0.099265099,0.1323224,0.11655261,4.8542042,4.3317313,5.9155045,5.9026852,0.25332066,0.21610859,0.22322792,-0.15092935,0.22268745,0.17423947,0.77009141,0.24368155,0.21907011,0,0.51569396,0.51457638,31.784191,0.074030146,0.48567659,0.4377057,0.38472372,0.10354046,0.29497343,0.21498854
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,son,3235,0.67869866,0.044386342,0.057368945,0.15876342,0.060782649,0.48299247,0.026405104,0.18026051,0.19612795,0.11421397,3.8656235,5.8919411,5.5812869,5.8061409,0.12346732,0.36583033,0.39120722,2.3829544,0.37114269,0.36492074,0.67421401,0.39283764,0.2737433,0,0.52107859,0.54207128,39.609371,0.12674505,0.58699483,0.32450363,0.30926389,0.23948747,0.12828186,0.25909254
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,all,4371,0.91111279,0.009580053,0.024668276,0.04691162,0.007727239,0.52453423,0.026111748,0.16439773,0.17894135,0.10601494,1.0611202,5.4427314,3.286447,5.8058333,0.11709236,0.44615513,0.49037448,4.4303899,0.44777292,0.43008479,0.91379309,0.76424068,0.49550951,0,0.36475348,0.64437312,44.856018,0.2024854,0.40108874,0.27663821,0.26640582,0.25447059,0.3527056,0.25029087
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,daughter,743,0.88723409,0.010490757,0.029825391,0.067567483,0.004882287,0.62592477,0.022771038,0.1088951,0.1288846,0.11352452,1.354021,4.3329616,3.5643578,5.8839722,0.25332066,0.3408632,0.34249276,3.0088809,0.34061894,0.30315918,0.87082821,0.78913045,0.5558008,0,0.49783164,0.82181072,37.251896,0.13860382,0.42341402,0.38384795,0.33206072,0.14548749,0.39565811,0.21529861
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,son,3628,0.91651881,0.009373876,0.023500744,0.042235285,0.008371315,0.50158018,0.02686806,0.17696311,0.19027384,0.10431483,0.99480957,5.693975,3.2170758,5.7592707,0.12346732,0.47007632,0.52385378,4.7533412,0.47203177,0.45790163,0.92467898,0.75708932,0.47367322,0,0.33812642,0.60532039,46.348106,0.21606827,0.39722523,0.25374693,0.25254172,0.27764308,0.34114894,0.25821286
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,avg,all,476,0.45116287,0.21334429,0.17810149,0.10135192,0.056039423,0.33021063,0.096481197,0.051976804,0.19066133,0.33067003,5.409904,9.1551704,4.3398561,6.133954,0.66970968,0.54882681,0.67146045,4.0710273,0.55695176,0.39151812,0.69620258,0.727952,0.62408537,0,0.59007889,0.83401769,34.808189,0.11609487,0.51833385,0.46529415,0.25665724,0.16195375,0.12602226,0.25207084
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,avg,daughter,231,0.44297212,0.24635817,0.15415493,0.092356861,0.064157918,0.39077765,0.090076104,0.052898612,0.16123508,0.30501255,5.2784462,8.4065542,4.4607162,6.3934031,0.7646963,0.50385743,0.61264861,3.5211167,0.50300992,0.26860392,0.75322104,0.60995311,0.7899521,0,0.60808325,0.87154639,31.969715,0.085703246,0.50248873,0.57652503,0.20059933,0.11386339,0.16997457,0.22615491
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,avg,son,245,0.46021807,0.17684618,0.20457534,0.1112963,0.047064114,0.26325148,0.10356227,0.05095771,0.22319318,0.35903537,5.5552354,9.9827938,4.2074227,5.735074,0.80122399,0.59765041,0.73596001,4.6680689,0.61658663,0.52231234,0.60838926,0.82625252,0.47191802,0,0.56951952,0.77630347,37.802383,0.13392837,0.5450542,0.34246066,0.32103181,0.20257916,0.081728049,0.28072187
